ID,素材强度,类别,经历/项目,时间,角色,我做了什么,为什么重要,怎么做的,结果/影响,数字指标,能证明的能力,适合岗位（推断）,可直接调用 Bullet（中文）,English Bullet / Draft,可信度,状态
A001,A,AI 产品/项目,OPC 业务架构与证据诊断,2026.03-至今,AI Native 产品经理,将会议、XMind、Figma 包、截图/OCR、Excel 整理为证据库和诊断运行包。,复杂业务材料分散，团队容易反复翻找和重复确认。,按业务链路与状态口径整理证据，形成可诊断、可追溯的运行包。,减少人工翻找、重复确认和会议对齐时间。,,"业务架构, 证据化诊断, 复杂需求拆解, 项目对齐","AI Native 产品经理, 解决方案产品, 项目交付, 业务分析",围绕 OPC SaaS 多租户与招商协同链路，建立业务拆解和状态判断口径，将会议、XMind、Figma 包、OCR 与 Excel 整理为证据库和诊断运行包，减少人工翻找与重复对齐。,"Built business-status definitions and an evidence library for OPC SaaS multi-tenant and channel-collaboration flows, converting meetings, XMind maps, Figma packages, OCR and spreadsheets into a diagnosis package.",原文明确,可用
A002,A,AI 产品/项目,Figma Make 工作区治理,2026.03-至今,AI Native 产品经理,明确入口、组件、按钮、数据来源、接口缺口和待确认事项。,避免把 Figma/md 草稿误判为已完成，降低验收误差。,把工作区拆成规则、入口、组件、数据源、接口缺口和待确认项。,形成 Figma Make 工作区规则和供应商管理规则。,6 个 OPC 工作区,"Figma 治理, 验收规则, 状态模型, 交互诊断","AI Native 产品经理, Figma Make 产品/运营, 交付 PM",为 6 个 OPC 工作区建立全局规则与供应商管理规则，用“材料有/页面有/交互有/闭环有”四层状态统一验收口径，明确入口、组件、数据源、接口缺口和待确认事项。,"Created global and supplier-management rules for 6 OPC Figma Make workspaces, using a four-layer status model to align acceptance criteria and surface API/data gaps.",原文明确,可用
A003,A,AI 提效/测算,供应商管理/批量 AI 优化方案测算,2026.03-至今,AI Native 产品经理,沉淀效率提升和上货提效的价值口径，用于内部产品判断和方案沟通。,让 AI 提效方案从感觉判断变成可沟通的数字口径。,对比人工处理 10 个产品的时间与批量 AI 优化耗时，并拆出单个上货时间差异。,形成可用于产品判断和方案沟通的效率叙事。,人工优化 10 个产品 20-30 小时；批量 AI 优化约 50-60 分钟；上货 30 分钟/个 -> 3 分钟/个；约 10 倍提升,"AI 提效测算, 价值口径, 方案沟通, 产品判断","AI 产品经理, 增长产品, 解决方案顾问",围绕供应商管理和批量 AI 优化方案，整理“10 个产品人工优化 20-30 小时 vs AI 批量优化 50-60 分钟”“上货 30 分钟/个降至 3 分钟/个”的效率口径，支撑内部产品判断与方案沟通。,"Developed efficiency narratives for supplier-management AI optimization, comparing 20-30 hours of manual work for 10 products with 50-60 minutes of batch AI optimization and a 10x listing-speed improvement.",原文明确,待核实
A004,A,AI 工作流/知识资产,AI 战略报告 / Skill 生产线,2026.03-至今,AI Native 产品经理,把项目线索、聊天记录、会议纪要转成 Agent 访谈协议、报告结构模板、HTML 作战卡和三类输出版本。,让项目诊断和战略报告从一次性人工整理变成可复用流程。,将输入材料、访谈协议、报告模板、输出版本拆成可复用 Skill。,形成董事长判断版、团队作战卡、外部沟通版三类输出。,2 类 Skill；3 类输出版本,"Agent 工作流设计, 报告产品化, 结构化访谈, HTML 作战卡","AI Native 产品经理, AI 应用架构师, 战略/项目 PM",设计董事长诊断端与 strategy-report-builder 两类 Skill，将项目线索、聊天记录和会议纪要转成 Agent 访谈协议、报告结构模板、HTML 作战卡，并沉淀为董事长判断版、团队作战卡、外部沟通版三类输出。,"Designed Chairman-diagnosis and strategy-report-builder Skills that turn project signals, chats and meeting notes into agent interview protocols, report templates, HTML action cards and three audience-specific outputs.",原文明确,可用
A005,A,解决方案/需求转译,OLOFamily B 端货代需求转译,2025.07-2025.12,产品经理（AI 辅助 B 端增长/解决方案）,梳理“找货代/看运价 -> 公司详情 -> 私聊对接”等关键链路表达。,把模糊业务需求转成产研可理解、可验收的产品表达。,结合 GPT、Figma、PRD 和验收清单组织需求包。,形成关键链路原型、交互说明和验收材料。,,"需求分析, PRD, Figma 原型, 业务-工程翻译, 验收清单","产品经理, Solution PM, 售前解决方案, B 端产品",用 GPT 辅助拆解 B 端货代需求，围绕“找货代/看运价 -> 公司详情 -> 私聊对接”关键链路沉淀 PRD、交互说明、验收清单与 Figma 原型。,"Used GPT to break down B2B freight-forwarding requirements into PRDs, interaction notes, acceptance checklists and Figma prototypes for flows such as supplier/rate discovery, company profiles and 1:1 chat.",原文明确,可用
A006,A,增长/社群,OLOFamily AI 辅助增长外联与社群矩阵,2025.07-2025.12,产品经理（增长/解决方案）,通过社群运营、客户分层、活动/信息撮合和外联节奏支持中小货代客户开发。,提升 B 端客户触达、匹配和转化效率。,构建 ICP、多渠道触达话术、3 天高频到周/月节奏、轻量 CRM 状态回写。,促成 1v1 对接/洽谈，并沉淀增长外联流水线。,"10 个群；4,224+ 成员（新版本）；旧版本提到 1,500+ B 端客户；GMV 约 20 万","B 端增长, 社群运营, ICP, 外联节奏, CRM 字段","增长产品经理, 社群产品经理, Solution PM, 客户运营",运营微信/WhatsApp 10 个社群矩阵并沉淀增长外联流水线，结合 ICP、多渠道触达话术、跟进节奏和轻量 CRM 状态回写，导流 1v1 对接并促成约 20 万 GMV。,"Operated a 10-group WeChat/WhatsApp community matrix and built an outreach pipeline with ICPs, multi-channel scripts, follow-up cadence and light CRM write-back, driving 1:1 matching and about RMB 200K GMV.",版本差异,待核实
A007,A,AI 产品/知识库,内部 AI 培训助手 / FAQ 知识库,2025.07-2025.12,产品经理（增长/社区产品）,与销售和技术团队优化问答脚本与模型效果，替代重复培训和答疑。,新人培训和客户/销售重复答疑占用老员工时间。,搭建知识库结构、场景问答、标签/FAQ 体系和问答闭环。,替代约 70% 重复答疑/培训，一次解决率提升至 73.6%。,替代约 70% 重复答疑；一次解决率 73.6%；年节省人力约 5 万；旧版提到支撑会员销售额约 50 万,"AI 知识库, 问答流程, 成本节省, 销售赋能, 用户支持","AI 产品经理, 知识库产品, 客服/销售赋能产品, 社群产品",主导内部 AI 培训助手 0-1，设计知识库结构、场景问答和 FAQ 闭环，替代约 70% 重复培训/答疑，将一次解决率提升至 73.6%，年节省人力约 5 万元。,"Led a 0-to-1 internal AI onboarding assistant, designing KB structure and scenario Q&A flows that replaced about 70% of repetitive support, reached 73.6% first-contact resolution and saved roughly RMB 50K annually.",原文明确,可用
A008,B,商业化/交付标准化,OGM/OPM 会员权益与广告交付 SOP,2025.07-2025.12,产品经理（增长/解决方案）,把会员权益、峰会票、服务报告包装为可售卖、可交付、可验收的产品包。,解决“卖什么、怎么交付、如何验收”口径不一致的问题。,梳理权益清单、交付边界、验收清单、半年度服务报告模板。,支持销售可售、运营可交付、客户可验收。,,"商业化包装, 交付 SOP, 权益设计, 销售赋能, 服务报告","解决方案产品, 商业化产品, 售前解决方案, 客户成功",梳理 OPM/OGM 会员权益、广告资源位和交付边界，将峰会票、会员权益与服务报告包装为可售卖、可交付、可验收的产品包，并输出 SOP、权益矩阵和半年度服务报告模板。,"Standardized OPM/OGM benefits, ad inventory and delivery scope into sellable and verifiable packages, producing SOPs, benefits matrices and semiannual service-report templates.",原文明确,可用
A009,B,数据/效果监控,推广效果监控与异常诊断,2025.07-2025.12,产品经理（增长/社区产品）,联动产研/运营推进修复与验证。,广告/推广交付需要可解释、可复盘的效果口径。,定义指标口径并围绕异常状态做诊断和回归验证。,形成推广效果异常诊断能力。,曝光、点击、到店、线索；0 曝光/不起量/掉量/超成本,"指标口径, 异常诊断, 数据驱动运营, 产研协同","增长产品, 数据产品经理, 广告运营产品, 客户成功",搭建曝光、点击、到店、线索等推广监控口径，独立排查“0 曝光/不起量/掉量/超成本”等异常，并联动产研与运营完成修复和回归验证。,"Defined promotion metrics such as impressions, clicks, store visits and leads, diagnosed 0-impression, low-volume, drop and over-cost issues, and coordinated fixes with engineering and operations.",原文明确,可用
A010,B,产品改版/信息架构,官网国际站与 App 重构,2025.07-2025.12,产品经理（增长向）,围绕权益展示、转化路径和会员客户便携使用需求设计改版方案。,原官网结构不清晰，浏览曝光量少，转化广告客户效率不足。,重构信息架构、权益展示、关键功能和转化路径。,预期提升网站 PV/UV 并带动相关业务收入。,预计 PV/UV +50%；收入影响约 30 万；旧版提到每月新增收益约 10 万为竞对/商业模式建议,"信息架构, 转化路径, 原型/功能方案, 增长产品","产品经理, 增长产品, B 端产品",参与官网国际站与 App 重构，输出信息架构、权益展示和转化路径方案，预期提升网站 PV/UV 50%，并带动相关业务收入约 30 万元。,"Contributed to website and app redesign by delivering information architecture, benefits display and conversion-path plans, with expected PV/UV uplift of 50% and about RMB 300K revenue impact.",待核实,待补充
A011,B,竞品/商业分析,行业竞对与会员体系调研,2025.07-2025.12,产品经理（增长向）,从行业调研中提炼可借鉴模式，为官网、会员体系和商业化提出建议。,公司进一步扩张业务，需要借鉴竞品模式并优化商业模式。,分析竞对网站、会员权益与商业化路径，形成建议。,部分落地后预期增加收益。,旧版提到预期每月新增收益约 10 万,"竞品分析, 商业模式分析, 产品建议, 会员体系","产品经理, 商业分析, 增长产品",调研竞对网站与会员体系，提炼可借鉴的产品和商业模式优化建议，部分建议落地后预期每月新增收益约 10 万元。,"Researched competitor websites and membership systems, translating findings into product and business-model recommendations with expected monthly incremental revenue of about RMB 100K after partial rollout.",待核实,待补充
A012,A,独立项目/AI 工具,WhisperScribe macOS 批量转录工具,独立项目,独立产品/开发,面向会议、录音、视频资料整理设计批量转录流程。,提升会议、录音和视频资料整理效率。,本地 Whisper、音频格式转换、结构化输出。,形成 macOS 批量转录工具。,支持 m4a/mov/mp4 转 WAV；输出 TXT/JSON/MD,"AI 工具产品定义, macOS 工具, 本地模型, 文档自动化","AI 产品经理, AI 应用架构师, 独立开发者",设计并落地 WhisperScribe macOS 批量转录工具，将 m4a/mov/mp4 转 WAV 并调用本地 Whisper 输出 TXT/JSON/MD 结构化转录结果，用于会议、录音和视频资料整理提效。,"Designed and built WhisperScribe, a macOS batch transcription tool that converts m4a/mov/mp4 to WAV and uses local Whisper to output structured TXT/JSON/MD transcripts.",原文明确,可用
A013,A,独立项目/工程交付,WhisperScribe 并行任务架构与打包,独立项目,独立产品/开发,完成 SwiftUI 原生界面、进度/转录区自适应、快捷键支持，以及 .app/.dmg 打包方案。,让批量转录从脚本能力变成桌面端可用产品。,设计并行槽位、分段策略、实时进度和桌面打包交付。,形成可安装/可使用的 macOS 桌面工具方案。,最多 10 个并行槽位；5 分钟分段；.app/.dmg 打包,"SwiftUI, 桌面产品, 并行任务, 打包交付, 用户体验","AI 应用架构师, macOS 产品开发, 工具产品经理",为 WhisperScribe 设计并行任务和桌面交付闭环，支持最多 10 个并行槽位、5 分钟分段、实时进度、自动标题生成和 TXT/JSON/MD 输出，并完成 SwiftUI 原生界面与 .app/.dmg 打包方案。,"Built the delivery loop for WhisperScribe with up to 10 parallel slots, 5-minute segmentation, real-time progress, automatic titles, TXT/JSON/MD output, a SwiftUI native UI and .app/.dmg packaging.",原文明确,可用
A014,B,售前/方案包,高考志愿填报机构外挂 / 交付 QA Overlay,独立项目，日期未明确,Side Venture,将择校/择专业不确定性建模为可交付决策流程，沉淀规则库、数据字段、模板化交付和质量检查清单。,把咨询服务从经验交付变成有证据链、边界和 ROI 口径的产品化流程。,设计阶段流程、门禁放行、证据链、案件 JSON、ROI CSV 和数据质量检查。,已具备试点量化口径，当前优先寻找可开放流程的机构试点伙伴。,OP-09；案件 JSON；ROI/CSV 口径,"咨询产品化, 交付 QA, 规则库, 数据字段, ROI 看板","Solution PM, 售前解决方案, 教育产品经理, 交付经理",将高考志愿填报咨询产品化为交付工作台，设计阶段流程、门禁放行、证据链、OP-09/案件 JSON 和 ROI 看板，用纠纷、返工、人力成本 CSV 口径支撑试点量化验证。,"Productized college-application consulting into a delivery QA workspace with stage gates, evidence trails, OP-09/case JSON output and an ROI dashboard based on disputes, rework hours and labor-cost CSV data.",原文明确,待补充
A015,B,独立项目/排障产品,NetGuard 网络守护,独立项目，日期未明确,Side Venture,设计 DNS/VPN/DHCP/代理/时间/端口等故障排查和自愈动作。,把网络问题从人工排查变成决策树和可执行自愈流程。,必要条件链、Win/mac 决策树、桌面通知、日志、自愈动作。,形成网络排障 Playbook / 工具方案。,Win/mac；DNS/VPN/DHCP/代理/时间/端口,"决策树, 排障 Playbook, 可运维化, 桌面工具设计","Solution PM, 工具产品经理, 售前解决方案",设计 NetGuard 网络守护方案，将“上网成功”拆成必要条件链和 Win/mac 决策树，配合桌面告警、日志与 DNS/VPN/DHCP/代理/时间/端口等自愈动作，形成可执行排障 Playbook。,"Designed NetGuard by breaking “internet works” into necessary-condition chains and Win/mac decision trees with desktop alerts, logs and self-healing actions for DNS, VPN, DHCP, proxy, time and port issues.",原文明确,待补充
A016,B,独立项目/自动化,时政 & Breaking 信息流推送,独立项目，日期未明确,Side Venture,设计多源信息摄入、去重、筛选、摘要、推送和运行迁移链路。,把高频信息监控变成自动化推送流。,RSS/网页源、事件级去重、摘要生成、Telegram 推送、GitHub Actions 到自建主机迁移。,形成新闻/时政推送自动化方案。,目标 10 分钟一推；当前约 1-2 小时；夜间休眠,"自动化信息流, 事件去重, 摘要, Telegram Bot, 运行迁移","AI 产品经理, 自动化产品, 信息流产品",设计时政与 Breaking 信息流推送链路，将 RSS/网页多源接入、事件级去重、筛选、摘要和 Telegram 推送串成自动化流程，目标 10 分钟一推，并预留 GitHub Actions 到 Mac mini 自建主机迁移。,"Designed a politics and breaking-news push pipeline from RSS/web intake through event-level dedupe, filtering, summarization and Telegram delivery, targeting a 10-minute cadence with a migration path to a self-hosted Mac mini runner.",原文明确,待补充
A017,A,创业/线下运营,熙辰自习室,2024.06-2025.06,联合创始人,设计时段卡、包月卡等规则，通过社群、朋友圈宣传和线下地推获客。,满足校内学生自习与备考场景需求。,线下空间定位、定价、SOP、社区获客、地推拉新。,推动门店稳定运营。,年营收约 30 万,"0-1 创业, 线下运营, 定价, 用户获取, SOP","运营产品, 增长产品, 社群运营, 创业经历",作为联合创始人 0-1 搭建线下自习室，参与选址、空间规划、时段卡/包月卡定价和运营 SOP，通过社群、朋友圈与线下地推获客，推动门店年营收约 30 万元。,"Co-founded an offline study-room business from 0 to 1, covering site selection, layout, pricing and SOPs, and acquired users through communities, Moments campaigns and offline outreach, reaching about RMB 300K annual revenue.",原文明确,可用
A018,A,校园增长/销售,荣耀神机营 / Honor 校园合伙人,2022.08-2024.06,校园合伙人/负责人,搭建并运营客户社群，发布新品试用报名、信息通知和互动内容。,提升荣耀产品在学生中的知名度和购买转化。,路演、社团合作、试用活动、私域社群运营、转介绍。,沉淀用户并带动销售转化。,500+ 私域/客户社群；500+ 购买转化；现场销售约 10 万；旧版提到间接销售 50 万+,"校园营销, 私域运营, 活动推广, 销售转化","增长运营, 社群运营, 市场活动, 用户增长",负责荣耀神机营校园项目，在沈阳建筑大学及周边高校组织路演、社团合作和产品体验活动，搭建 500+ 人客户社群并转化 500+ 购买，现场销售约 10 万元。,"Led Honor campus promotion at Shenyang Jianzhu University and nearby schools through roadshows, club partnerships and product trials, building a 500+ member community and converting 500+ purchases with about RMB 100K on-site sales.",版本差异,待核实
A019,A,大型活动/资源整合,2024 毕业季草地音乐节,2024.05-2024.06,主理人/发起人,对接爱玛电动车、元气森林等赞助商，统筹舞台、灯光音响、校方审批与现场流程。,落地大型校园文化活动，需要跨品牌、校方与执行团队协调。,约 6 人团队协作，整合赞助资源、校内资源和现场执行资源。,活动最终成功落地。,"2,000+ 观众；约 6 人团队；现金 + 物料支持（金额未明确）","资源整合, 大型活动统筹, 赞助沟通, 审批协调, 现场执行","活动策划, 社群活动, 项目经理, 校园市场","从 0 策划并落地毕业季草地音乐节，联动约 6 人团队，对接爱玛电动车、元气森林等赞助资源，统筹校方审批、舞台灯光音响和现场流程，最终吸引 2,000+ 观众到场。","Planned and delivered a campus lawn music festival from scratch, coordinating a 6-person team, sponsors including AIMA and Genki Forest, university approvals, stage/sound/lighting and on-site flow for 2,000+ attendees.",原文明确,可用
A020,A,沙龙/主持,大连开放式沙龙,2025.02-至今,主理人/主持人,独立完成选题、活动文案、招募、破冰、提问、节奏推进、收尾总结和活动后复盘。,把陌生人社交场快速带热并转化为持续连接。,结合话题设计、现场控场、微信建联、复访邀请和 AI 辅助策划。,形成稳定复参加和合作商家持续合作。,20+ 场；常规约 10 人/场；最高 23 人；复参加率高（未量化）,"活动主理, 现场主持, 社群运营, 话题设计, AI 辅助活动","沙龙主理人, 活动主持人, 社群活动策划, 内容运营",自 2025 年 2 月起持续主理大连开放式沙龙 20+ 场，独立负责选题、文案、招募、破冰、提问、节奏推进和复盘，单场常规约 10 人、最多 23 人，并通过微信建联与复访邀请提升活动黏性。,"Organized and hosted 20+ open salons in Dalian since Feb 2025, owning topic design, copywriting, recruitment, icebreaking, moderation and recap, with typical attendance around 10 and a peak of 23.",原文明确,可用
A021,A,沙龙/主持,OLOFamily 峰会/派对/晚会现场,2025.10.24,记者/主持人,面对演出团队迟到、节目顺序被打乱、临时增补节目等情况，在上台前半小时内持续接收变更并脱稿完成节奏重组。,大型活动现场变化频繁，需要主持人稳定节奏并维持互动氛围。,用 AI 准备主持提纲、采访准备、流程备份和复盘纪要，并在现场灵活重排流程。,与客户建立现场连接，收到客户正反馈。,800+ 人现场；上台前半小时内多次流程变更,"临场主持, 大型活动控场, 应急重排, 客户互动, AI 辅助准备","活动主持, 会务执行, 社群活动策划, 客户运营",在 800+ 人 OLOFamily 重庆峰会现场承担派对串场主持、会后问候和桌间互动，面对演出迟到、临时加节目和上台前半小时多次改流程，脱稿重排节目顺序并稳定现场节奏。,"Hosted party segments and guest engagement at an 800+ attendee OLOFamily summit in Chongqing, reorganizing the show order without a script amid performer delays and last-minute changes within 30 minutes before going on stage.",原文明确,可用
A022,B,跨文化/语言,沙龙双语与跨文化沟通,2025.02-至今,主理人/主持人,在有国际参与者时进行英文沟通、控场和参与引导。,提升活动包容度和跨文化参与体验。,用英语进行现场说明、提问和互动引导。,具备双语沟通与跨文化场控能力。,外国参与者数量未明确,"英语沟通, 跨文化引导, 双语主持, 现场控场","活动主持, 国际社群运营, 客户沟通",在开放式沙龙中接待外国参与者，并用英文完成现场沟通、控场与参与引导，具备双语和跨文化活动主持能力。,"Facilitated open salons with international participants, using English for live communication, room control and participant guidance.",原文明确,可用
A023,B,内容/影像团队,筑澜微电影工作室 / 网络文化工作室,2021.03-2021.11,主理人,组织团队完成宣传片拍摄和内容制作。,服务校园宣传与网络文化内容建设。,团队管理、拍摄统筹、视频剪辑与宣传内容制作。,作品获得学校多个奖项。,5 人团队；多个学校奖项（奖项名称未明确）,"团队管理, 视频制作, 宣传内容, 校园组织","内容运营, 活动/品牌, 产品经理",主理筑澜微电影工作室，管理 5 人团队拍摄反诈宣传、党政宣传等校园微电影宣传片，并获得学校多个奖项。,"Led a 5-person campus microfilm team producing anti-fraud and public-affairs promotional videos, winning multiple school-level awards.",原文明确,待补充
A024,B,能力标签,AI 工作流与证据化资产,2026.03-至今,AI Native 产品经理,把非结构化材料转成证据库、候选状态表、自动归纳事实、诊断运行包、工作区规则和部署文档。,让 AI 辅助工作变成可复用、可验收的交付资产。,跨工具整理、规则化、状态化、Skill 化。,形成证据化诊断资产和产品交付资产。,效率口径：20-30 小时 -> 50-60 分钟；30 分钟/个 -> 3 分钟/个,"AI 工作流, Codex, Figma, 证据库, Skill, OCR, 状态表","AI Native 产品经理, AI 应用架构师, 交付 PM",熟练使用 GPT、Codex、Figma、Notion/飞书和 XMind，将聊天记录、会议纪要、OCR、Excel 与前端包整理成证据库、状态表、诊断运行包和可复用 Skill。,"Use GPT, Codex, Figma, Notion/Lark and XMind to convert chats, meeting notes, OCR, spreadsheets and frontend packages into evidence libraries, status sheets, diagnosis packages and reusable Skills.",原文明确,可用
A025,B,售前/方案设计,Presales 需求包方法论,日期未明确,Solution Consultant / Solution PM,将模糊诉求转成范围口径、流程/字段、异常、验收清单和风险预案。,售前阶段需要同时让客户、销售和产研理解方案边界。,Discovery -> 方案蓝图 -> Demo/PoC -> SOW/范围 -> 验收/风险。,形成售前解决方案表达框架。,,"Discovery, 方案蓝图, Demo/PoC, SOW, 验收, 风险预案","售前解决方案, Solution Consultant, Solution PM",用售前需求包方法拆解客户目标、约束和优先级，输出方案蓝图、流程/字段、异常分支、Demo/PoC 路线、SOW 范围边界、验收口径和风险预案。,"Use a presales requirement-package method to break down customer goals, constraints and priorities into a solution blueprint, workflow/data fields, edge cases, demo/PoC path, SOW scope, acceptance criteria and risk plan.",推断,待补充
